user,text
JJCommonSense,@Mike_Pence This administration will go down as the WORST in history. They MUST be held accountable. GOP=Corruption… https://t.co/CljasPZH7R
kZ4YTr6B7tgIE7D,@Mike_Pence I am Ehsan.  I have an international transport company and a trading company from Iran.  I can buy any… https://t.co/LD16kT9WGR
Celina1123,@Mike_Pence Failure!
Claire07216717,@Mike_Pence He has had plenty of days in court and has not won any of them. Time to end this nonsense.
Marcoibf,@Mike_Pence Good message. Also please STOP attacking the voters that voted Trump and you out. WE THE PEOPLE HAVE SPOKEN
Aanzegwu,@Mike_Pence It is so pathetic that you pledged your loyalty to psychopath rather than the American constitution.
cathyphi,"RT @sparky347v: @Mike_Pence ...and if you do vote but we don't like how you voted, we'll see if we can throw out your votes."
BrianMalcolm20,@Mike_Pence @Perduesenate @KLoeffler MAGA PATRIOTS WRITE IN TRUMP IN GEORGIA RUN OFF.   THE GOP HAS BETRAYED MAGA!!!
BChayes98,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler Amen to that.
BChayes98,"@Mike_Pence That's been there plan all along, everyone except the Demacratic party, has known that."
Goodness204,@Mike_Pence LOSER LOSER LOSER #lol AT YOU AND @realDonaldTrump
Wayne95750643,"@Mike_Pence Well Miley, perhaps if your boss would have kept his big fucking mouth shut and not cried for several w… https://t.co/EokK2HROU0"
ShashawnaPleia1,@Mike_Pence Yes and it's about to change to traveling in space.
anotherbarista,@Mike_Pence We voted and your team cried about it. Do you really love democracy or do you just live power? #GOPBetrayedAmerica
reddiris,@Mike_Pence @VP @realDonaldTrump https://t.co/IWq1xgzehM
KeithBu83058454,"@Mike_Pence Mike, Americans also look forward to Donald's appearance in court. ""T"" and many have some explaining to do."
12Burners,@Mike_Pence Unfortunately you people stalled stimulus so your going to lose I supported trump and you for 5 years.… https://t.co/s9dFQxtrym
Palmcanyon1,@Mike_Pence GOP lies and sedition. Amazing how low these Republican creeps will go. #RepublicansAreTheProblem
2021NYGIANTS,@Mike_Pence https://t.co/faw3bHrUOx
CurtisPerfect,@Mike_Pence @Perduesenate @KLoeffler https://t.co/8pJGwkogIV
LevesqueMarcel,@Mike_Pence You sure are dick Mike just like your boss.
LaLaTvObsessed,"RT @mikedrake178: @Mike_Pence Fascinating phrasing with the whole “my fellow Americans” followed by “if *you* don’t vote, *they* win.”   Al…"
TxBearCub69,@Mike_Pence Don’t bother to vote in GA. It’s all rigged. The GOP will lose not matter what you do. Don’t vote
tarminian,"@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler For all we've killed, for all we have yet to kill, for our As… https://t.co/yh5UDO51OY"
blancitapochita,@Mike_Pence GOD BLESS MY VICEPRESIDENT PENCE  2020!!🙌⭐🌹❤😇🗽💒🇺🇸🇺🇸🇺🇸🇺🇸👏👏👏🌎🌏🌍🌐😇
Sambrow91047410,"@Mike_Pence ""MASS MURDER""—Trump Danced On The Graves Of Americans That Didn’t Have To Die—He golfed while the natio… https://t.co/rBZMcmXhiL"
aredviral,@Mike_Pence You claimed voter fraud in Georgia.  REPUBLICANS DONT VOTE IN JAN
RPeeters6,RT @MollysMommy1212: @Mike_Pence https://t.co/SjpF6Q7yFl
Margare46982073,"@Mike_Pence @Perduesenate @KLoeffler Yes, America stay strong and vote for the sake of our Beautiful  America.Let's… https://t.co/DU7QbgQVmp"
dagnyfan,@Mike_Pence I'm also an American who voted for Biden.  Stop dividing us.  Stop using fear.  I want to speak directl… https://t.co/sZ3lwAhP2Q
Flyswatter,RT @SilvertipGrizz: @Mike_Pence #299692trumpvirusdeathsDec10 #299692trumpvirusdeathsDec10 #299692trumpvirusdeathsDec10 #299692trumpvirusdea…
Flyswatter,"RT @audiomagnate: @Mike_Pence But your boss's lawyer filed a petition stating that votes for Biden were switched to Trump, so if you do vot…"
Flyswatter,RT @loves10s: @Mike_Pence If you vote for Republicans all of America loses. Fascism has walked thru the door.
Downtowndani2,@Mike_Pence What will you do in january when you wont get to see your beloved trump anymore? Just mother. So sad for your loss.
Sambrow91047410,"@Mike_Pence @VP @realDonaldTrump ""MASS MURDER""—Trump Danced On The Graves Of Americans That Didn’t Have To Die—He g… https://t.co/MadaYVGvgG"
peggyschrier1,"@Mike_Pence Where is mother, does mommy know your kissing Trumps ass"
elizabe50286054,@Mike_Pence Prancing Mike Pence tramples the Constitution.
dagnyfan,RT @LynxLV: @Mike_Pence I am an American who voted for Biden. Shame on you for painting me as “they” the enemy. You &amp; Trump are responsible…
peggyschrier1,@Mike_Pence @Perduesenate @KLoeffler Pence doing  Trumps bidding https://t.co/9HmxyT7tuw
Melanie32578869,@Mike_Pence Voting is important- that's why we voted you out.
ecorse1,@Mike_Pence @GOPChairwoman https://t.co/YVUf3PlXZ6
UguetoAlexis,"RT @indepintel: @Mike_Pence Per the 12th Amendment, you as President of the Senate will open &amp; count the Electoral Votes. Per 3 U.S.C. §15,…"
peggyschrier1,@Mike_Pence Pence in Georgia https://t.co/RgVOWzZHNx
BadHabitNXS,@Mike_Pence LIAR!
reliableone9,@Mike_Pence Mike Mike Mike...y’all have already told that voting is corrupt. Why would they turn out to vote for y’… https://t.co/YMp4BKQJ9x
fredschll,@Mike_Pence Thou shalt not bear false witness against thy neighbor. https://t.co/DVklOQjL2C
Claire07216717,@Mike_Pence @Perduesenate @KLoeffler Georgia we need to thank you for being a part of getting Trump and Pence the yes man out of office.
stoopidparty,"@Mike_Pence Funny how you have distanced yourself from @realDonaldTrump , using your personal Twitter account and n… https://t.co/6JGJSHatlM"
tpawap,@Mike_Pence Deserved for what? For 4 years of egoist lyling? For 4 years of golfing?
healthyforT,@Mike_Pence https://t.co/1Vohht2J5p
BabaliciousDQ1,@Mike_Pence https://t.co/mx6RlGReMI
F4F,@Mike_Pence https://t.co/W1QBgj9Ost
GAScubaBum,"@Mike_Pence Too late silly man, we already voted in GA and the Senate is ours!"
JamesHa08437022,@Mike_Pence @realDonaldTrump Tell that to all the people who died while you were lying to the American people. Isn't lying a sin?
BabaliciousDQ1,@Mike_Pence Sure does... https://t.co/HDbHGYG9sS
lynnlustigla,"@Mike_Pence @WhiteHouse @SpeakerPelosi  INEQUALITY IN COVID TREATMENT. No copter transport, No premium med treatmen… https://t.co/MUSSlTwQ1r"
jjcelebrations,@Mike_Pence @IvankaTrump @realDonaldTrump Definitely renewed space cadets...all of you. Please blast off!
weason_wong,RT @weason_wong: @Mike_Pence We can’t give up the hill it will be the last presidential election if you do it’s now obvious they will stop…
weason_wong,@Mike_Pence We can’t give up the hill it will be the last presidential election if you do it’s now obvious they wil… https://t.co/bbfyeL7doY
photo4truth,"@Mike_Pence I agree, Pence also if is about prison terms as a traitors and criminal negligence for thousands of dea… https://t.co/DHtb9ZTm2W"
donaeiko,@Mike_Pence @VP @UofSCSOMG Important proof of the election! https://t.co/pOsd8Z0OxY
jordangareth04,"@Mike_Pence 301,176 deaths 16,137,040 covid cases, 3000 Americans are dying every day from the Trump virus, even af… https://t.co/8WPVdPtZrz"
LiberallyHappy,@Mike_Pence Nothing is more radical than this.... nothing! #GOPGenocide https://t.co/Bebqaembc3
donaeiko,@Mike_Pence @VP @realDonaldTrump https://t.co/bgNXCjartE
BaroneDirewolf,"@Mike_Pence But we did vote, and now your president is laboring to erase it !  I really don’t understand you people!"
jordangareth04,"@Mike_Pence 301,176 deaths 16,137,040 covid cases, 3000 Americans are dying every day from the Trump virus, even af… https://t.co/32HxfeSLG4"
tomjone88011701,@Mike_Pence Rhino - Trump Hater in Black. Robes  !!!!!!
robbieinbiz,"@Mike_Pence Come on Americans, you must vote, I live in NZ, our government is slowly destroying our country because… https://t.co/7TOOuZ7BW0"
TravisYeggy,@Mike_Pence Who are you talking to?
starryvolt,@Mike_Pence #TraitorsToDemocracy #Traitor
DaveSmi80000297,@Mike_Pence @WhiteHouse @Mike_Pence political career is over. He has so much shit on him that flies try to eat his… https://t.co/gVprYlUqiU
