user,text
ShermieG2,@Mike_Pence 🙏🇺🇸 🌐 🗳 🗳 🗳 🐉👀🐺 🔘 ♨️
FancyNancyTN,"@Mike_Pence Fear mongering by the guy in charge of our COVID response who killed 300,000 Americans with his incompetence.  Sure, Mike."
Unknown19037,@Mike_Pence @Perduesenate @KLoeffler OH COME ON Mike Pence you know there’s no evidence of voter fraud you just don… https://t.co/zV6hm6PIl3
Irysh15,@Mike_Pence Count your votes and count your deaths. 300k and growing
JamesBa054,"@Mike_Pence Cutting Military spending to stop Star Wars 2.0. Raising taxes on the 1% and ultra rich, and passing th… https://t.co/96nnRZk3s3"
luvman33wife,@Mike_Pence You told us that the election was a fraud.  You said that trump won but the election was stolen.  You s… https://t.co/9CATvlJBR5
45bestwords,"RT @45bestwords: @Mike_Pence Radical left = fear monger Socialism = fear monger  There is nothing ""radical"" about healthcare, income equali…"
Diesel67731034,@Mike_Pence @VP @realDonaldTrump https://t.co/MJd0hFbvCZ
WEBV5,@Mike_Pence @Ciarra05309840 @Perduesenate @KLoeffler So Trump supports abortion. “The treatment for Covid-19 receiv… https://t.co/8SIAlPhAID
Ranee84099973,"@Mike_Pence You both do. Just not this court. But in criminal court, for treason.  Luckily for you both, the Biden… https://t.co/JhYPq8ClW9"
sedan_land,@Mike_Pence @Perduesenate @KLoeffler Don't do it. Nobody voted for the people dying. All they got was a head trun.
DesiDrumbeat,@Mike_Pence Too late. It’s a rigged system. Why should the #MAGA cultists vote?
Latinas_4Trump,@Mike_Pence @VP @realDonaldTrump Thanks to Trump-Pence administration. Best Administration Ever!!… https://t.co/0C4FelNc7M
DarrellRay1959,@Mike_Pence @realDonaldTrump https://t.co/rWqcKD9aXw
Christi62803008,@Mike_Pence The is your greatest fear brother? What about those who are in desperation depression because there is… https://t.co/hLfDS7g8fo
Pminn76,RT @Rosemarie4311: @Mike_Pence https://t.co/eeuuy8MJKw
iamxande,@Mike_Pence @Perduesenate @KLoeffler Look at that Nazi salute on the photo. Can't wait for January 20 for this nightmare to end.
cheryljwilliam1,"@Mike_Pence @Perduesenate @KLoeffler CORRUPT SENATORS, CORRUPT PRESIDENT, CORRUPT ADMINISTRATION.  GO TO JAIL. NOT THE WHITEHOUSE."
UemuraAlan,@Mike_Pence Step on the little orange bug https://t.co/RLDPiUm2LA
Jimborobo,@Mike_Pence Can’t you see that it’s the REPUBLICANS who are trying to subvert the will of the people and STEAL THE… https://t.co/FcWvuSKn5J
emello1971,@Mike_Pence Cutting our military???!!! Your president threatened to cut money to the military so what are you talki… https://t.co/5jpdu1ynKx
JamesMWilliam18,RT @Rosemarie4311: @Mike_Pence https://t.co/nhTTOAutZ2
joy_wilder,@Mike_Pence Every word from your mouth is a lie. Worst Vice President EVER!🇺🇸🇺🇸
metalwork2020,"@Mike_Pence @realDonaldTrump I'll still be a fan after the next four years of your leadership, insurance and compen… https://t.co/whWp1a3lg7"
HibiscusStables,@Mike_Pence Hey Mike. Your attempted overthrow of the government seems pretty radical to me. https://t.co/LXk1pVklve
JennierPhillips,@Mike_Pence @VP @realDonaldTrump This vaccine has absolutely no connection to Operation warp speed 🤬
Paul36130834,@Mike_Pence I'll take that over the INCOMPETENT crap that you offer. Enough said.
DebraErnst14,"RT @Resister_Sis: @Mike_Pence My fellow Americans, as you can see, Trump has been a great prez! He fed u when u were hungry, gave u shelter…"
DianeJo32251217,@Mike_Pence @VP @realDonaldTrump Leadership? Operation warped brain is a killer not a leader. You are his enabler a… https://t.co/RZRGc9mfEh
kpopnquarantine,@Mike_Pence So now you believe in science? https://t.co/ua1xUTTL31
loves10s,@Mike_Pence If you vote for Republicans all of America loses. Fascism has walked thru the door.
fishermancobia,@Mike_Pence @realDonaldTrump Mike – – you can take your head out of his ass now. Like a miracle he will soon be gone.
ZipppyZZZ,@Mike_Pence @VP @realDonaldTrump Someone wants to talk with you Mike... https://t.co/A0LaGIYilC
seesookas,@Mike_Pence @VP @henrymcmaster Trump is fucking up the value of our dollar. https://t.co/PTsxutWyIz
Tim_0773,@Mike_Pence @VP @realDonaldTrump Where was it developed and by whom? https://t.co/O1VjAJYqBc
seesookas,@Mike_Pence @VP @UofSCSOMG https://t.co/PTsxutWyIz
Erkal77,@Mike_Pence We did vote and you and the Biggest Loser are history next month. #BuhBye #Treason #FacistPOS
lawyer822,@Mike_Pence Where is your decency sir.  Why do you lie with such ease.  Schumer and Pelosi aren't going to cut our… https://t.co/3lzPGvUYKl
bobhasdogsagain,RT @g0downthefield: @Mike_Pence https://t.co/cLOd9SVXC8
bobhasdogsagain,RT @Rosemarie4311: @Mike_Pence https://t.co/rLKbEd3ENM
wilonab,@Mike_Pence @VP @UofSCSOMG 12/11/2020... yet another day goes by &amp; you HAVE FAILED to acknowledge the covid deaths… https://t.co/9bgYfEnOJ8
KarmaBitesMore,"@Mike_Pence Still lying, even now?  NOT a miracle, but product of decades-long research into mRNA-based vaccines. https://t.co/1wrvWlNrWW"
TroyBerning,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler Trump has not accomplished jack squat. U should reform yourse… https://t.co/DQA0xQqcNX
bobhasdogsagain,RT @Rosemarie4311: @Mike_Pence https://t.co/eeuuy8MJKw
wilonab,@Mike_Pence @VP @realDonaldTrump 12/11/2020... yet another day goes by &amp; you HAVE FAILED to acknowledge the covid d… https://t.co/Nqjexk7EDi
ZipppyZZZ,@Mike_Pence @VP @realDonaldTrump So was it all worth going to hell?
bobhasdogsagain,RT @Rosemarie4311: @Mike_Pence https://t.co/nhTTOAutZ2
laneontour1,@Mike_Pence @realDonaldTrump Taking forever.
bobhasdogsagain,RT @Rosemarie4311: @Mike_Pence https://t.co/vu6dgC7PL5
yooperpollack,"@Mike_Pence No he doesn’t.....all these lawsuits, all rejected by courts, and no evidence presented....accusations… https://t.co/lohVgS0IOq"
sunjiqing2,@Mike_Pence @Perduesenate @KLoeffler Please stop relying on references from Republican bosses to select officials.… https://t.co/GxlmpuKvhE
TessitoreSandra,RT @coryell76: @Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler All you have done? You left the people out in the cold. You have blood…
sunjiqing2,@Mike_Pence @Perduesenate @KLoeffler Please stop relying on references from Republican bosses to select officials.… https://t.co/pfilJzjsLw
bobhasdogsagain,RT @MaggieAnn1222: @Mike_Pence https://t.co/ZrZ7tPg12G
sunjiqing2,@Mike_Pence Please stop relying on references from Republican bosses to select officials. For the justice departmen… https://t.co/iCLTFmxBTo
tdAZ12,@Mike_Pence You’re lying to Americans.
jf61109,@Mike_Pence Wear a GD mask please
sunjiqing2,@Mike_Pence Please stop relying on references from Republican bosses to select officials. For the justice departmen… https://t.co/Ip0fk847Ig
sunjiqing2,@Mike_Pence Please stop relying on references from Republican bosses to select officials. For the justice departmen… https://t.co/NhMMDh8lMP
goldenheart1995,"@Mike_Pence And hey, if you vote but we don’t like who you vote for we’ll just make up a lot of crap and try to use… https://t.co/RBfwKKsajI"
sunjiqing2,@Mike_Pence @Perduesenate @KLoeffler Please stop relying on references from Republican bosses to select officials.… https://t.co/HwB0UK9riz
kpopnquarantine,@Mike_Pence Trump from prison. https://t.co/3HlosN3c7p
sunjiqing2,@Mike_Pence Please stop relying on references from Republican bosses to select officials. For the justice departmen… https://t.co/HMLRQVPPX1
DianeJo32251217,"RT @rocketandramps: @Mike_Pence @realDonaldTrump Then explain how other countries already have it, and are distributing it? And distributin…"
bobhasdogsagain,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler They will both both be in jail this time next year.  Vote for democrats.
Heeeellllooooo,@Mike_Pence Their latest #FakeNewsCollussion  https://t.co/dqyxjomZe9
cheryljwilliam1,@Mike_Pence @henrymcmaster @realDonaldTrump LIKE YOU REALLY CARE. SUCH A HYPOCRITE.
Trump20Never68,"@Mike_Pence We voted, you lost. Go take your Anti-Americanism to parler."
DingoStolenBaby,"@Mike_Pence 750 billion dollar military budget while people are pleading for money, food, stop to evictions. 3k die… https://t.co/6SDx7DuoqA"
magalie_j,@Mike_Pence @VP @realDonaldTrump Lord of the lies and Lord of the flies 🪰 https://t.co/Vh3YU59cZF
jojake111,RT @coryell76: @Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler All you have done? You left the people out in the cold. You have blood…
Roberta69002544,@Mike_Pence The people deserve this too!
LadyHistory08,RT @karenmariephx: @Mike_Pence STFU Fly Boy. #WarnockForGeorgia  #OssoffForSenate https://t.co/836useryUH
RickCard13,@Mike_Pence https://t.co/mZnJvI2D5N
YDogDem,"@Mike_Pence Mikey, I'm so proud of you clapping and prancing out of the closet.  Embrace your gayness, it looks goo… https://t.co/BeSTmqLc8A"
lynnlustigla,"@Mike_Pence @VP @realDonaldTrump trump, his family/admin/cab/gop/vp/mitch all complicit w/trump in KILLING AMERICAN… https://t.co/SLW8gfFtnc"
LadyHistory08,"RT @KarmaBitesMore: @Mike_Pence GTFO w/ your robotic repetition.  I'm no radical, but I can't wait to see the back of all of you.  #GOPCorr…"
lynnlustigla,"@Mike_Pence @VP trump, his family/admin/cab/gop/vp/mitch all complicit w/trump in KILLING AMERICANS. They don't car… https://t.co/sIoygyXAVh"
lynnlustigla,"@Mike_Pence @VP @henrymcmaster trump, his family/admin/cab/gop/vp/mitch all complicit w/trump in KILLING AMERICANS.… https://t.co/5Y5n7TdGsY"
lynnlustigla,"@Mike_Pence @VP @UofSCSOMG trump, his family/admin/cab/gop/vp/mitch all complicit w/trump in KILLING AMERICANS. The… https://t.co/J96Ir2Afkj"
lynnlustigla,"@Mike_Pence @VP @realDonaldTrump trump, his family/admin/cab/gop/vp/mitch all complicit w/trump in KILLING AMERICAN… https://t.co/T7Q8ggIzfo"
lynnlustigla,"@Mike_Pence @SecondLady @realDonaldTrump trump, his family/admin/cab/gop/vp/mitch all complicit w/trump in KILLING… https://t.co/fDgBYEBdSC"
lynnlustigla,"@Mike_Pence @SecondLady trump, his family/admin/cab/gop/vp/mitch all complicit w/trump in KILLING AMERICANS. They d… https://t.co/uX9DiQfDmg"
lynnlustigla,"@Mike_Pence @SecondLady trump, his family/admin/cab/gop/vp/mitch all complicit w/trump in KILLING AMERICANS. They d… https://t.co/JEbN8bHlgx"
lynnlustigla,"@Mike_Pence @SecondLady trump, his family/admin/cab/gop/vp/mitch all complicit w/trump in KILLING AMERICANS. They d… https://t.co/ATz8wD2283"
UncleKansas,"@Mike_Pence @TedKadel Truth is that it does not matter. If these shams of elections are allowed to stand, it does n… https://t.co/hPajwadIY0"
SOAWO,@Mike_Pence 🙏🏽
changemustcome7,@Mike_Pence Yes #VoteBlueGeorgia https://t.co/RaG6BDu5bj
Tlovett7,@Mike_Pence Radical left? Schumer and Pelosi? Please..... You idiots don't know what radical left even is. You're c… https://t.co/ex1arfPbZJ
bootguy_paul,@Mike_Pence It looks like you’re gonna kiss Donnie’s ass right up until January 20th. Everyone should have a romant… https://t.co/TtlbsdhfGZ
RuckSacWoods,@Mike_Pence Fake Christian.
LadyHistory08,"RT @jc_qian: @Mike_Pence If you don’t vote, #MoscowMitch will help trump kill another 100k Americans. They are populists, they want you fee…"
WEendRACISM2Day,"@Mike_Pence @VP @realDonaldTrump WE ARE NOT TAKING IT FROM YOUR ADMINISTRATION, LIARS, DON’T CARE ABOUT HUMAN LIFE,… https://t.co/6zJWRtwLVd"
fdr_wheelchair,@Mike_Pence Yeah when he is indicted for tax fraud!
SandyPandyHeat,@Mike_Pence “I feel sorry for Texans that their tax dollars are being wasted on such a genuinely embarrassing lawsu… https://t.co/AcSFAzdZgY
Spunkmire1,@Mike_Pence he did have his day. and it was sorely rejected!
Radio_Mexicana,@Mike_Pence They? You mean your fellow Americans?
AlfredSebaeng,"@Mike_Pence Go America n go reach new heights, eagle s only animal tht can climb the heighest"
Dad56138956,"@Mike_Pence Who is ""they""? They are Americans. 81,271,682 of them voted you and your miscreant leader out of office… https://t.co/YCbQbGDuOK"
Jerry68415365,@Mike_Pence What a great word💪💪💪
GainesDan,@Mike_Pence https://t.co/OjvgMyQ7rx
walton_vikki,@Mike_Pence  U are a joke &amp; will go down in history how u engaged in a coup.106 House Republicans  r trying 2 overt… https://t.co/1GIWCa9ng2
Controls_Guru,RT @Rosemarie4311: @Mike_Pence https://t.co/vu6dgC7PL5
boo2you2,RT @Rosemarie4311: @Mike_Pence https://t.co/vu6dgC7PL5
actnowforward,@Mike_Pence @VP @realDonaldTrump This must stop!  https://t.co/sqppwv3ixs
Mack28564923,@Mike_Pence I Mack j Dudley vote for Donald Trump. For a man who will help our country. God bless the Trump family 🇺🇸
PhilinAtlanta,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler How do you reconcile your religious beliefs with your constant lying?
boo2you2,@Mike_Pence Stop lying.
CledyLee,@Mike_Pence I'm afraid that we did vote; and there's a high possibility that we may not win.
Jmichaeltucker2,@Mike_Pence 🐃💩🖕
t2ons,@Mike_Pence Don't worry. He'll get his day. And more than one. To answer to all he will be accused of.
haliboy2017,"@Mike_Pence Trump lost presidency,Trump lost man of the year,Trump lost 40 court cases,Trump about to lose his wife-GO DONNY"
nap2465,@Mike_Pence Go Mike go! https://t.co/DHPMsqy44N
Tennesseejedi1,"RT @LadyJayPersists: @Mike_Pence Americans did vote, and you still lost."
Antonio25283535,"@Mike_Pence Pence, how can you support Lawless and Immoral donald?  What Would Jesus Do? https://t.co/pFDJdqJqZP"
Steff723,@Mike_Pence “They” win?  So much for the “United” States of America.
DreamYouTube1,RT @DreamYouTube1: @Mike_Pence @IvankaTrump @realDonaldTrump https://t.co/82Tw1ILsOo
DreamYouTube1,@Mike_Pence @IvankaTrump @realDonaldTrump https://t.co/82Tw1ILsOo
dadafunk1,@Mike_Pence @IvankaTrump @realDonaldTrump Boycott Trump businesses countywide and all outside entities. Cheetos is… https://t.co/xhKjeGMAkT
asafperes,@Mike_Pence Does this mean you're finally conceding that Biden won and that Kamala Harris will be the tiebreaker in a 50-50 senate?
a_standal,@Mike_Pence You have ZERO right to invoke our military to drum up political support.  Absolutely ZERO.  Shame on yo… https://t.co/lvi9lmRlzV
AuntyPrissy,"@Mike_Pence  ""Joy to the world!  The LORD is come!  Let earth receive her King!  Let every heart prepare Him room;… https://t.co/KeUG1qRQP4"
g0atb0y72,"@Mike_Pence There's absolutely nothing ""radical"" about the Democratic party."
DenmarkRepent,@Mike_Pence @VP https://t.co/DbP4HTmYcI
DenmarkRepent,@Mike_Pence @VP https://t.co/DbP4HTmYcI
DenmarkRepent,@Mike_Pence @VP https://t.co/DbP4HTmYcI
DenmarkRepent,@Mike_Pence @VP https://t.co/DbP4HTmYcI
DenmarkRepent,@Mike_Pence @VP https://t.co/DbP4HTmYcI
DenmarkRepent,@Mike_Pence @VP https://t.co/DbP4HTmYcI
bleuciel1967,@Mike_Pence I say you cheated.  Therefore I deserve to have tax payer money take my claim all the way to #SCOTUS
BromleyDuane,@Mike_Pence Never concede!
DenmarkRepent,@Mike_Pence @VP @realDonaldTrump @DeptofDefense https://t.co/DbP4HTmYcI
DenmarkRepent,@Mike_Pence @VP @realDonaldTrump https://t.co/DbP4HTmYcI
DenmarkRepent,@Mike_Pence @VP https://t.co/DbP4HTmYcI
DenmarkRepent,@Mike_Pence @VP @henrymcmaster https://t.co/DbP4HTmYcI
beamuirgen,"@Mike_Pence If you do vote they win too.  Look what's going on.  But seriously, I've heard that The President will… https://t.co/pfgr4gtVEY"
DenmarkRepent,@Mike_Pence @VP @UofSCSOMG https://t.co/DbP4HTmYcI
DumpsterTrain,@Mike_Pence What about the Boogeyman? You forgot to mention him.
DenmarkRepent,@Mike_Pence @VP @realDonaldTrump https://t.co/DbP4HTmYcI
PT6768,@Mike_Pence unconscionable and cowardly!
DeborahEMatusek,@Mike_Pence @realDonaldTrump Mr. Vice-President: Is this vaccine safe?
VainFavio,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler #tds https://t.co/hgmFBeHNxy
Blueequus775,@Mike_Pence I happen to think your party’s attack on our democracy is radical.
jodispissed8645,@Mike_Pence We voted!! Your voted out. Now run along to MOTHER. 🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼#BidenWonDonaldLost… https://t.co/GDgqLuuOm5
KathyCeler,@Mike_Pence To which fellow Americans are you talking? Because I'm your fellow American and I voted for change and… https://t.co/jhmMHoe1up
dhjn1234,@Mike_Pence @Perduesenate @KLoeffler @Perduesenate and @KLoeffler  are RINO. THEY BETRAYED OUR GREAT PRESIDENT TRUM… https://t.co/e23EWgwaO3
KeepItComing003,@Mike_Pence https://t.co/qkILF0zpBC
Blueequus775,@Mike_Pence Gaslighter extraordinaire.
dhjn1234,@Mike_Pence @Perduesenate and @KLoeffler  are RINO. THEY BETRAYED OUR GREAT PRESIDENT TRUMP. THEY RIGGED THE ELECTI… https://t.co/NCyfRYhxtV
shelleynapier,@Mike_Pence @VP #TrumpVirusDeathToll293K
katsunobukuram5,@Mike_Pence https://t.co/6ISjr62NcA
nurse_riot,@Mike_Pence https://t.co/ofFB3nPrXr
VeganSueInVegas,@Mike_Pence You are not the spokesman for the left and our lying about our platform.
t2ons,@Mike_Pence Thankful that they were already close before the pandemic outbreak. And thanks to European funding and… https://t.co/CmEMfAUsmM
lacomedywriter,@Mike_Pence How the fuck can you look yourself in the mirror dude? How In The Fuck?
PatMaherArcodia,"@Mike_Pence @Perduesenate @KLoeffler Sen. Kelly Loeffler and her husband are worth a combined 800 million, own a 10… https://t.co/0mwuSoaALt"
Monica_Drake,@Mike_Pence https://t.co/HJoKDaQi8G
JadahParadox,@Mike_Pence We voted and your idiot boss won’t concede to losing. So much for integrity.
TheRealBillFrey,"@Mike_Pence Indeed he does. If the supreme court denies entry, let's settle for 2nd best. How about NY. Yep, I thin… https://t.co/E9ba8DRvwb"
KarmaBitesMore,"@Mike_Pence GTFO w/ your robotic repetition.  I'm no radical, but I can't wait to see the back of all of you.… https://t.co/WdSOl9iYBa"
PhxWilliamD,@Mike_Pence And saving America in the process. Do NOT believe this liar. He lies as much as his buddy who brought u… https://t.co/Xm4MhSO2sc
cchaganrx,@Mike_Pence Here's what's going to happen. We may cut the military from giving them an outrageous $1.4 million PER… https://t.co/3FjIhsf8zD
420ondeck1,@Mike_Pence Absolutely pathetic. No way in hell will you ever see the inside of the White House again.  #betterrampupyoursecretservice
4thinkerbell,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler You say “radical left” like it’s an insult. We proudly wear i… https://t.co/EiTgb1ibgY
NikitaTPiper,@Mike_Pence @WhiteHouse Hey guess what? Indiana Jones 5 will be released in 2021! https://t.co/diioyXA1zl
pearce_lori,@Mike_Pence Perverts enable other perverts.  Right pervert? #GOPerverts  #GOPCorruptionOverCountry https://t.co/hkYo8Ltijp
Webbum3,@Mike_Pence https://t.co/5UicONWHiQ
ScottWGonzalez,@Mike_Pence You mean Americans win Mike?
Robertforpeace,@Mike_Pence Let's get federal funding for this company $MJTV to expand the COVID-19 Rapid testing!  https://t.co/1JYjsDWngE
zeroprimal,"@Mike_Pence You run like Steven Seagal, lol"
pearce_lori,"RT @LadyJayPersists: @Mike_Pence Americans did vote, and you still lost."
jane_bagleyzi,"@Mike_Pence Trump must be held accountable for almost 300,000 dead ppl, and destroying the American Democracy and many more. You too."
dinosaurcarrots,RT @randymills4349: @Mike_Pence @VP NEW POLL: More voters say pardons for Trump's family would be inappropriate https://t.co/YTlTJSxmRh
Robert82nd,"@Mike_Pence  TRAITOR  @GOP  TREASON the crime of betraying one's country, especially by attempting to kill the sove… https://t.co/i3QDWsNmGV"
lstjapan,@Mike_Pence You and Teump deserved the loss that earned through sheer incompetence and lack of integrity.
jusjak97,"@Mike_Pence We voted, you lost, go away."
jdyer_,"@Mike_Pence But aren’t elections rigged? Why vote, the machine will just flip your vote."
vdub_blue,@Mike_Pence but its rigged!!??
Robert82nd,"@Mike_Pence @GOP  TREASON the crime of betraying one's country, especially by attempting to kill the sovereign or o… https://t.co/qUO2mJpsSW"
ZachBehm,@Mike_Pence Fake Christian Pence acts as though 81M people aren’t Americans
OneManBand_BW,@Mike_Pence @VP @realDonaldTrump I will not miss you at all
HaffendenDr,@Mike_Pence Only if they are giving him a life jail sentence?
allenemies4n,"@Mike_Pence First of all, your statement is a full blown lie, which isn't surprising coming from an ""administration… https://t.co/gRGHNcrY2b"
BartlikesBart,"RT @LadyJayPersists: @Mike_Pence Americans did vote, and you still lost."
Shelley62256225,@Mike_Pence Liar. Your lies are only exceeded by DJT.  How is that whole not bearing false witness going for you?
weilandaj,"@Mike_Pence @realDonaldTrump God and Trump had nothing to do with this at all. Science, education, and hard working… https://t.co/4cvmAG3Dew"
Luu007,@Mike_Pence Its past time!
jumpy231,"@Mike_Pence Trump hate our military, remains silent on Russian bounties"
DoretteHenry,@Mike_Pence We voted for Biden. Trump has done nothing but incite violence and undermine democracy. I voted for Tru… https://t.co/kn3yOnn6Fo
IanMoyes8,@Mike_Pence Oh Mike! You demean yourself supporting this nonsence! You're a better man than this.
TMFisms,@Mike_Pence Don't vote in the GA Run offs if you're a Republican!!! It was all RiGgEd!! Why vote in a rigged election?! Makes no sense!!!
dajigster,@Mike_Pence https://t.co/OD8K0cbiRH
JoyceBieseBuege,@Mike_Pence Pence sold his soul to #CryBabyTrump https://t.co/Ybx0OnnocT
CeliaSalsa2,@Mike_Pence @VP How about let’s feed starving Americans??? Space can wait! What is your priority Mike???
nasusgirl,@Mike_Pence @VP https://t.co/pE1OqTb41R
steppas2002,@Mike_Pence He need togo to belvue for treatment of soar looser cyndrome
lffrazer,RT @billybangu2: @Mike_Pence Thanks for saying Biden won.
LadyJayPersists,"@Mike_Pence Americans did vote, and you still lost."
NiceDrewishFela,@Mike_Pence Criminal court
lffrazer,RT @WokeAnimal: @Mike_Pence https://t.co/trjqAvavKr
lffrazer,RT @Barbara20958966: @Mike_Pence We did vote and you LOST. Take a seat.
lffrazer,RT @lindarchilders: @Mike_Pence And when we do vote 106 Republicans try to overturn the election.   P.S. Please don’t run and clap again. 😳
lffrazer,RT @johnpavlovitz: @Mike_Pence You’re going to hell.
GoodeLizzy,@Mike_Pence Oh please stop with the scare tactics.
BjarteBj,@Mike_Pence How can you live with yourself?
chrisdoyle46,"@Mike_Pence @JasonMillerinDC You are undermining the fabric of US democracy. In supporting Trump in his wild, unsub… https://t.co/rU8g7hojRX"
HenderClaire,@Mike_Pence Has been!
NysPatriotTrump,@Mike_Pence @ZuluF16 But sir. We did vote. 74 million of us. Our votes don’t matter when they fix elections. Unless… https://t.co/8qiOTWh0fv
WillardoA54,"@Mike_Pence Um....we did...5 weeks ago.  You lost, hon.  It's time to go home now.  Buh BYE!"
Robynrobynredb1,@Mike_Pence No Mr.. Christianity it's jail where he belongs.
chriz61219907,@Mike_Pence Hahaha.. Donald’s pet 😂😂
2021soready,"@Mike_Pence When there is no honor in what you say, don't say it."
moronalertnow,@Mike_Pence @Perduesenate @KLoeffler Keep packing
BillyVaughn4,@Mike_Pence Your party is losing everywhere!!! Your Bozo Trump &amp; his circus of thugs are not paying attention to wh… https://t.co/Wz2lR8Syef
piano_kat,@Mike_Pence @VP @realDonaldTrump https://t.co/ZyHrM4YkbX
ristogle,@Mike_Pence He deserves his day in Federal Court.
DJTGrabsPussies,@Mike_Pence boycott GA runoff!!  its all rigged as Trump tells us every day!!  #boycottGArunoff
lynnlustigla,"@Mike_Pence @SecondLady @realDonaldTrump https://t.co/3D3CIBMB1r trump, his family, his GOP, his vp don't care"
lynnlustigla,"@Mike_Pence @SecondLady https://t.co/3D3CIBMB1r trump, his family, his GOP, his vp don't care"
Orangefish71,@Mike_Pence I think that's for the SCOTUS to decide Mr. Pence.
lynnlustigla,"@Mike_Pence @SecondLady https://t.co/3D3CIBMB1r trump, his family, his GOP, his vp don't care"
lynnlustigla,"@Mike_Pence @SecondLady https://t.co/3D3CIBMB1r trump, his family, his GOP, his vp don't care"
cojazz,@Mike_Pence @realDonaldTrump Because of Democracy you and your boyfriend will be out of office in a month.
jay_the_dawn_,@Mike_Pence @VP @realDonaldTrump Hope you guys set up a independent quality control..
lynnlustigla,"@Mike_Pence @VP @henrymcmaster https://t.co/3D3CIBMB1r trump, his family, his GOP, his vp don't care"
rosa_capra,@Mike_Pence @WhiteHouse @realDonaldTrump Despite his blocking it and denying the problem
lynnlustigla,"@Mike_Pence @VP @UofSCSOMG https://t.co/3D3CIBMB1r trump, his family, his GOP, his vp don't care"
lynnlustigla,"@Mike_Pence @VP @realDonaldTrump https://t.co/3D3CIBMB1r trump, his family, his GOP, his vp don't care"
lynnlustigla,"@Mike_Pence @WhiteHouse https://t.co/3D3CIBMB1r trump, his family, his GOP don't care"
LeeLeedan,@Mike_Pence Fly away
Cisco1919,@Mike_Pence Yes!  Civilization.  We want that. Bezos doesn’t need quadrillions of dollars and the US government sho… https://t.co/SduEf6n3sQ
annaleclaire,@Mike_Pence @Elizabe24953069 No point in voting.  They Democrats will just steal it again.  Remember when the Trump… https://t.co/A38AhQ1sI8
ivanmelendez61,@Mike_Pence @Perduesenate @KLoeffler https://t.co/idEDswzjFT
McKinleyTodd1,"RT @greenka40: @Mike_Pence @realDonaldTrump 300K Dead Americans is not an accomplishment. It is a sign of indifference, incompetence and bo…"
ivanmelendez61,@Mike_Pence @Perduesenate @KLoeffler https://t.co/h03i1DKhra
McKinleyTodd1,"RT @mccabe_joe: @Mike_Pence @realDonaldTrump Um, the constant lies are getting tedious. Wanna explain why Trump turned  down 100 million ex…"
JClagle,RT @JClagle: @Mike_Pence https://t.co/HbKFKnnhT1
McKinleyTodd1,"RT @GinnyBrannan: @Mike_Pence @realDonaldTrump Grateful for the biologists, epidemiologists, scientists and medical professionals that made…"
MarilynHarden13,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler God Bless U Mike Pence Keep your hand on Jesus keep on keepin… https://t.co/wcmfqr0sx6
McKinleyTodd1,RT @JackPolakoff: @Mike_Pence @realDonaldTrump #Trump does not strongly promote mask wearing and social distancing because he knows he can…
barackhablamos,"@Mike_Pence Perhaps as a criminal, yes."
McKinleyTodd1,"@Mike_Pence @realDonaldTrump Operation warp speed, stupid bloody name, had absolutely nothing to do with the speed… https://t.co/yITYY9cY5b"
MomBug,RT @angieesslinger: @Mike_Pence https://t.co/q7H7IJKZMd
lynnlustigla,"@Mike_Pence @IvankaTrump @realDonaldTrump https://t.co/3D3CIBMB1r trump, his family, his GOP don't care"
tazarae20,RT @ArvaChris: @Mike_Pence @realDonaldTrump Oh Mikey just stop. #Sadsack It's over. Get your pardon and run.
arlendent,@Mike_Pence @VP @realDonaldTrump After not doing shit about it for the better part of the year. It didn't have to b… https://t.co/QWX4aNgzoI
Tiger8568739031,@Mike_Pence 3000k people died yesterday Because you can't tell your party to shut up and put on a mask. Even the go… https://t.co/aLz7D5yfqo
Robert82nd,"@Mike_Pence @VP @realDonaldTrump @GOP  TREASON the crime of betraying one's country, especially by attempting to ki… https://t.co/iJMIjM47GL"
ivanmelendez61,@Mike_Pence @Perduesenate @KLoeffler Not true
Carangle,@Mike_Pence Anybody that supports this asshat should not be allowed to vote.
MaryRybicki4,"@Mike_Pence What's  wrong with taxing you rich people, that gives us middle and lower class people a break. Are you… https://t.co/tIVdNmzq4Q"
jvkersey,@Mike_Pence https://t.co/5Z3XIa8kLE
sammy361969,@Mike_Pence You’re a FAKE Christian. https://t.co/dJOD5CVCVX
SamDR,@Mike_Pence That day is coming.  https://t.co/dpwPgKGlQC
Davisonbob,@Mike_Pence https://t.co/5erGOQzBin
admlostsailor,@Mike_Pence https://t.co/RbyJzXolRX
Janicej92515227,"@Mike_Pence @realDonaldTrump Good luck, Vice President!"
fchicoaz,"@Mike_Pence @VP @henrymcmaster We may never again see a Ticket like Trump/Pence, but hang in there folks, it’s not… https://t.co/rT29mlPf5x"
